ecosystem_name,ecosystem_block,rep,gas,estimate,p.value,average_temp_kelvin,total_vol_m3,flux,units
SW,1,1,co2,25.36323145150172,0.0062815209987949,309.7,0.006385043,2.1970904540639156,mgc-co2_m2_d
SW,1,2,co2,38.281972639254306,0.0120463106078074,310.35,0.007651811,3.9657700125612894,mgc-co2_m2_d
SW,1,3,co2,30.20157781826896,4.936561016419708e-6,310.1,0.006955088,2.846107021545532,mgc-co2_m2_d
SW,2,1,co2,23.345074767828056,0.05739108514843882,308.05,0.007588473,2.416290690220242,mgc-co2_m2_d
SW,2,2,co2,29.192223086329275,8.637723746776507e-4,309.35,0.007145104,2.8329984355395053,mgc-co2_m2_d
SW,2,3,co2,28.334303420948338,0.02158899662377269,306.65,0.007081765,2.7493612899984665,mgc-co2_m2_d
SW,2,4,co2,25.20004182922321,0.00212055317350655,306.4,0.008538549,2.9506473475566413,mgc-co2_m2_d
UP,1,1,co2,23.507362932749263,0.00778299635683601,308.25,0.009171934,2.9388842367930437,mgc-co2_m2_d
UP,1,2,co2,21.577307197471033,0.00272992696742923,306.95,0.009551964,2.8212593751534123,mgc-co2_m2_d
UP,1,3,co2,11.536429393282411,0.4442255677686352,308.9,0.007968503,1.2504057895809,mgc-co2_m2_d
UP,1,4,co2,28.887992365155643,1.2610391284932583e-4,309,0.007905165,3.105206965259388,mgc-co2_m2_d
UP,2,1,co2,22.79448283306042,9.039753347680764e-4,308.95,0.00891858,2.764763499846023,mgc-co2_m2_d
UP,2,2,co2,20.04268812399258,0.018700721443378,308.85,0.006765073,1.8445973550855956,mgc-co2_m2_d
UP,2,3,co2,19.431856236940376,0.00121503492623137,308.9,0.008981918,2.374029972171681,mgc-co2_m2_d
UP,2,4,co2,16.646864516841347,0.06606721372604639,307.75,0.008475211,1.926218873838631,mgc-co2_m2_d
SW,1,1,ch4,-0.01353555789870572,0.4089105714627178,309.7,0.006385043,-1.1725179855942598,mugc-ch4_m2_d
SW,1,2,ch4,0.00181677556821568,0.851893813162376,310.35,0.007651811,0.18820644734999437,mugc-ch4_m2_d
SW,1,3,ch4,-0.00858991418021978,0.12922692923318635,310.1,0.006955088,-0.8094880078751564,mugc-ch4_m2_d
SW,2,1,ch4,-0.00394907997864702,0.4575250406579817,308.05,0.007588473,-0.40874254129569065,mugc-ch4_m2_d
SW,2,2,ch4,-0.01584911995097742,0.17310675924143243,309.35,0.007145104,-1.5380990989625565,mugc-ch4_m2_d
SW,2,3,ch4,0.01033990310011536,0.6766011995764603,306.65,0.007081765,1.0033113891472836,mugc-ch4_m2_d
SW,2,4,ch4,-0.01507821471257857,0.099018322647372,306.4,0.008538549,-1.7654928729509531,mugc-ch4_m2_d
UP,1,1,ch4,-0.00967301037767801,0.01765730153991874,308.25,0.009171934,-1.2093171744793705,mugc-ch4_m2_d
UP,1,2,ch4,-0.01851926107786642,0.1808257178785785,306.95,0.009551964,-2.421416095098651,mugc-ch4_m2_d
UP,1,3,ch4,-0.03115300456691164,0.09144003372652525,308.9,0.007968503,-3.3765991144529632,mugc-ch4_m2_d
UP,1,4,ch4,-0.01718710180498804,0.0258638319756132,309,0.007905165,-1.8474633876546138,mugc-ch4_m2_d
UP,2,1,ch4,-0.01260995862475275,0.2508885981611546,308.95,0.00891858,-1.5294733201720165,mugc-ch4_m2_d
UP,2,2,ch4,-0.0060394667685985904,0.04672571836259787,308.85,0.006765073,-0.5558328482968532,mugc-ch4_m2_d
UP,2,3,ch4,-0.00518831319683462,0.08079126766981752,308.9,0.008981918,-0.6338669288260775,mugc-ch4_m2_d
UP,2,4,ch4,-0.01300178153348392,0.0161312422548636,307.75,0.008475211,-1.5044440926389737,mugc-ch4_m2_d
SW,1,1,n2o,-0.00132679131526787,0.6369609993764661,309.7,0.006385043,-0.42119570776917925,mugn-n2o_m2_d
SW,1,2,n2o,0.00159693311043433,0.5572248293495748,310.35,0.007651811,0.6062585911346003,mugn-n2o_m2_d
SW,1,3,n2o,3.522036983041874e-4,0.51089024159964,310.1,0.006955088,0.12163357478181994,mugn-n2o_m2_d
SW,2,1,n2o,-2.7922807509512344e-4,0.908637118465472,308.05,0.007588473,-0.10591341180707398,mugn-n2o_m2_d
SW,2,2,n2o,-0.00105280737186501,0.2546814587688506,309.35,0.007145104,-0.37442604203839813,mugn-n2o_m2_d
SW,2,3,n2o,0.00348426980488338,0.45498700618006793,306.65,0.007081765,1.2389934631798407,mugn-n2o_m2_d
SW,2,4,n2o,-0.00118904266543134,0.1554432926454195,306.4,0.008538549,-0.5102129154953723,mugn-n2o_m2_d
UP,1,1,n2o,5.151342581073624e-4,0.5948410065503604,308.25,0.009171934,0.2360135645865419,mugn-n2o_m2_d
UP,1,2,n2o,-0.00105207245727794,0.3206746857651733,306.95,0.009551964,-0.5041147283954456,mugn-n2o_m2_d
UP,1,3,n2o,-0.00503556672783297,0.06126698362271306,308.9,0.007968503,-2.0001652750196746,mugn-n2o_m2_d
UP,1,4,n2o,-1.3256145978254462e-4,0.7967355026651577,309,0.007905165,-0.052218985882757994,mugn-n2o_m2_d
UP,2,1,n2o,-0.00153125985779065,0.3755060795575421,308.95,0.00891858,-0.680636297920201,mugn-n2o_m2_d
UP,2,2,n2o,1.9891161568774904e-4,0.3140559330516899,308.85,0.006765073,0.06708782657114842,mugn-n2o_m2_d
UP,2,3,n2o,-1.5626921011252745e-4,0.4675817605282916,308.9,0.008981918,-0.069965394980282,mugn-n2o_m2_d
UP,2,4,n2o,-0.00121384339061201,0.6616059853360422,307.75,0.008475211,-0.5147232802923873,mugn-n2o_m2_d
