ecosystem_name,ecosystem_block,rep,gas,estimate,p.value,date,average_temp_kelvin,total_vol_m3,flux,units
SW,1,1,co2,6.7585602136895515,9.632133979159036e-4,221102,294.15,0.006385043,0.6164103075258646,mgc-co2_m2_d
SW,1,2,co2,5.864607728773163,0.11668596315633573,221102,291.6,0.007651811,0.6466010632733901,mgc-co2_m2_d
SW,1,3,co2,6.065224193949964,3.923656019886751e-6,221102,294.4,0.006955088,0.6020497960942572,mgc-co2_m2_d
SW,1,4,co2,5.449177381822658,0.00119539111727999,221102,292.55,0.01012201,0.7921698993589211,mgc-co2_m2_d
SW,2,1,co2,8.212912058567802,9.370320591027358e-4,221102,293.65,0.007588473,0.8917483037407838,mgc-co2_m2_d
SW,2,2,co2,8.31280382849979,7.931294135891583e-4,221102,291.25,0.007145104,0.8568620007503828,mgc-co2_m2_d
SW,2,3,co2,6.0572620004796995,9.356100657492876e-5,221102,293.7,0.007081765,0.6136696638598795,mgc-co2_m2_d
SW,2,4,co2,5.893135909279158,8.93305807144372e-4,221102,292.15,0.008538549,0.723678004284639,mgc-co2_m2_d
UP,1,1,co2,5.932500969359156,0.00124132063659164,221102,293.5,0.009171934,0.7789531977403494,mgc-co2_m2_d
UP,1,2,co2,5.644218837748866,4.26850352815526e-4,221102,291.05,0.009551964,0.7783046919212104,mgc-co2_m2_d
UP,1,3,co2,8.900745465687503,6.108307520380173e-5,221102,293.3,0.007968503,1.0160423036940014,mgc-co2_m2_d
UP,1,4,co2,6.349930878926606,1.9027819987291544e-4,221102,291.95,0.007905165,0.7224240387242509,mgc-co2_m2_d
UP,2,1,co2,5.913753924097989,4.0221659691856406e-4,221102,291.55,0.00891858,0.7600928496978929,mgc-co2_m2_d
UP,2,2,co2,6.716910707867858,0.00322609059625854,221102,289.2,0.006765073,0.6601832555381947,mgc-co2_m2_d
UP,2,3,co2,5.000956575357449,0.00404532464368065,221102,291.65,0.008981918,0.6471141850582841,mgc-co2_m2_d
UP,2,4,co2,9.19345081032691,0.01439562708214801,221102,289.05,0.008475211,1.1326007204996444,mgc-co2_m2_d
SW,1,1,ch4,-0.0014308819958198,0.4560232545183457,221102,294.15,0.006385043,-0.13050270814928633,mugc-ch4_m2_d
SW,1,2,ch4,-0.01018776715534166,0.601573482573497,221102,291.6,0.007651811,-1.1232500756540256,mugc-ch4_m2_d
SW,1,3,ch4,-0.00127714899941272,0.08903762520131092,221102,294.4,0.006955088,-0.12677310353101118,mugc-ch4_m2_d
SW,1,4,ch4,0.00494343107571374,0.8097782994735985,221102,292.55,0.01012201,0.7186474257195254,mugc-ch4_m2_d
SW,2,1,ch4,-0.00494982107822069,0.00700176117628384,221102,293.65,0.007588473,-0.5374457340887937,mugc-ch4_m2_d
SW,2,2,ch4,-0.0148090815988733,0.12709901520912803,221102,291.25,0.007145104,-1.5264812631066618,mugc-ch4_m2_d
SW,2,3,ch4,-0.00513123888268179,0.00110056180552122,221102,293.7,0.007081765,-0.5198529698848596,mugc-ch4_m2_d
SW,2,4,ch4,-0.01023810035210568,0.15391690344682446,221102,292.15,0.008538549,-1.2572403122099334,mugc-ch4_m2_d
UP,1,1,ch4,-0.00641311897564234,0.2412510757635033,221102,293.5,0.009171934,-0.8420596236506883,mugc-ch4_m2_d
UP,1,2,ch4,-0.00330085857911831,0.04615899019620391,221102,291.05,0.009551964,-0.4551690487820999,mugc-ch4_m2_d
UP,1,3,ch4,-0.00697229089557997,0.02281774422511037,221102,293.3,0.007968503,-0.7959044027131494,mugc-ch4_m2_d
UP,1,4,ch4,-0.00522171570658932,0.00489282632690264,221102,291.95,0.007905165,-0.5940683484198465,mugc-ch4_m2_d
UP,2,1,ch4,9.697911278938606e-5,0.9058590270520088,221102,291.55,0.00891858,0.012464693517409269,mugc-ch4_m2_d
UP,2,2,ch4,-0.00428173020129864,0.06856040708982031,221102,289.2,0.006765073,-0.42083730252933954,mugc-ch4_m2_d
UP,2,3,ch4,-0.00316275440790026,0.06441631858565629,221102,291.65,0.008981918,-0.4092543517160184,mugc-ch4_m2_d
UP,2,4,ch4,3.877922984449519e-4,0.9383245726722724,221102,289.05,0.008475211,0.04777464367673575,mugc-ch4_m2_d
SW,1,1,n2o,-9.047566293527412e-4,0.4375797557110806,221102,294.15,0.006385043,-0.30240254602325223,mugn-n2o_m2_d
SW,1,2,n2o,-0.00240350301586485,0.5334874892273397,221102,291.6,0.007651811,-0.9711360629611059,mugn-n2o_m2_d
SW,1,3,n2o,2.4544199624030656e-4,0.3922545000405875,221102,294.4,0.006955088,0.08928374406341866,mugn-n2o_m2_d
SW,1,4,n2o,5.506397959802714e-4,0.8542441702426927,221102,292.55,0.01012201,0.2933546326166577,mugn-n2o_m2_d
