ecosystem_name,ecosystem_block,rep,gas,estimate,p.value,average_temp_kelvin,total_vol_m3,flux,units
SW,1,1,co2,32.81023468176296,4.105623526279091e-5,306.5,0.006385043,2.871860997642681,mgc-co2_m2_d
SW,1,2,co2,31.030664800755087,0.0095064723450684,305.75,0.007651811,3.2629436970934678,mgc-co2_m2_d
SW,1,3,co2,21.716569675096963,5.930804484950074e-4,306.35,0.006955088,2.0715561126585698,mgc-co2_m2_d
SW,2,1,co2,37.60512907928803,0.00204089918553636,305.95,0.007588473,3.918968301661428,mgc-co2_m2_d
SW,2,2,co2,28.189061165570383,0.00755389168231213,305.55,0.007145104,2.7696673393111992,mgc-co2_m2_d
SW,2,3,co2,34.77151702904258,1.1368053672592002e-4,306.4,0.007081765,3.376736094954726,mgc-co2_m2_d
SW,2,4,co2,31.318080154459615,9.786855600944322e-4,307,0.008538549,3.659835472357045,mgc-co2_m2_d
UP,1,1,co2,40.42102079993464,NA,305.35,0.009171934,5.101419113198091,mgc-co2_m2_d
UP,1,2,co2,28.64760817363742,8.497506922317693e-4,304.4,0.009551964,3.777088216502963,mgc-co2_m2_d
UP,1,3,co2,29.89481540440512,0.01035356963084507,305.55,0.007968503,3.2757523389485548,mgc-co2_m2_d
UP,1,4,co2,31.136979942392756,0.01234877761321358,307.05,0.007905165,3.368209183473904,mgc-co2_m2_d
UP,2,1,co2,21.52418444247665,0.07345055170448543,307.15,0.00891858,2.6259873450622337,mgc-co2_m2_d
UP,2,2,co2,10.440447668161369,0.2952206987873193,307.9,0.006765073,0.9638349060171935,mgc-co2_m2_d
UP,2,3,co2,24.724671214136407,2.5035957712536056e-5,307.7,0.008981918,3.0324443946127873,mgc-co2_m2_d
UP,2,4,co2,28.50596324053451,7.545924875387745e-5,308.35,0.008475211,3.2920241959735344,mgc-co2_m2_d
SW,1,1,ch4,-0.00716407934863829,0.26122035696744983,306.5,0.006385043,-0.6270677508078767,mugc-ch4_m2_d
SW,1,2,ch4,0.00770704385791805,0.3812511226876918,305.75,0.007651811,0.810412871940942,mugc-ch4_m2_d
SW,1,3,ch4,-0.01241339384092482,0.21224034303783773,306.35,0.006955088,-1.1841208015230074,mugc-ch4_m2_d
SW,2,1,ch4,-0.00550597101241898,0.01577496405823982,305.95,0.007588473,-0.5737974152951688,mugc-ch4_m2_d
SW,2,2,ch4,-0.01669638235846345,0.24867664326508504,305.55,0.007145104,-1.6404741055856376,mugc-ch4_m2_d
SW,2,3,ch4,-0.00634729691662132,0.03311870066861414,306.4,0.007081765,-0.616399525676381,mugc-ch4_m2_d
SW,2,4,ch4,-0.01581945527278596,0.09041170641051802,307,0.008538549,-1.84866387962365,mugc-ch4_m2_d
UP,1,1,ch4,-0.00596538688308531,NA,305.35,0.009171934,-0.7528740754375454,mugc-ch4_m2_d
UP,1,2,ch4,-0.00719150720607383,0.00506505197208992,304.4,0.009551964,-0.9481753925953915,mugc-ch4_m2_d
UP,1,3,ch4,-0.01092266368844706,0.0278740122494938,305.55,0.007968503,-1.196861082464038,mugc-ch4_m2_d
UP,1,4,ch4,-0.01805384437098211,0.1567030453908196,307.05,0.007905165,-1.9529551202414286,mugc-ch4_m2_d
UP,2,1,ch4,0.01115047590217006,0.6951760644449466,307.15,0.00891858,1.3603771464035455,mugc-ch4_m2_d
UP,2,2,ch4,-0.08012710413128075,0.6384204317974906,307.9,0.006765073,-7.397125327807274,mugc-ch4_m2_d
UP,2,3,ch4,-0.00192962974986041,0.0439437813189341,307.7,0.008981918,-0.23666623786271682,mugc-ch4_m2_d
UP,2,4,ch4,-0.01223398190905835,0.1491260710578241,308.35,0.008475211,-1.4128469933776358,mugc-ch4_m2_d
SW,1,1,n2o,0.00146297674034925,0.400458148997521,306.5,0.006385043,0.4692772110611736,mugn-n2o_m2_d
SW,1,2,n2o,0.00488072635531844,0.17213180024248367,305.75,0.007651811,1.8807926694265171,mugn-n2o_m2_d
SW,1,3,n2o,-6.547361436916798e-4,0.6483957847668314,306.35,0.006955088,-0.22888100749713142,mugn-n2o_m2_d
SW,2,1,n2o,0.00136612364571715,0.08848979429663566,305.95,0.007588473,0.5217382051793884,mugn-n2o_m2_d
SW,2,2,n2o,-1.1329280202835364e-4,0.9378043685434924,305.55,0.007145104,-0.04079315356969679,mugn-n2o_m2_d
SW,2,3,n2o,9.722019158132396e-4,0.1362649229178666,306.4,0.007081765,0.3459934827999366,mugn-n2o_m2_d
SW,2,4,n2o,9.227429263745294e-5,0.627295886854319,307,0.008538549,0.039517104907718065,mugn-n2o_m2_d
UP,1,1,n2o,5.723167569968204e-4,NA,305.35,0.009171934,0.2647025677649084,mugn-n2o_m2_d
UP,1,2,n2o,7.943176593978927e-4,0.5521988450829779,304.4,0.009551964,0.3837964404885749,mugn-n2o_m2_d
UP,1,3,n2o,0.00131636876056763,0.28944363446762733,305.55,0.007968503,0.5286043289344271,mugn-n2o_m2_d
UP,1,4,n2o,-8.348743976082325e-4,0.42987319065085994,307.05,0.007905165,-0.3309647007149814,mugn-n2o_m2_d
UP,2,1,n2o,0.00312919241759911,0.4558833422271992,307.15,0.00891858,1.3990594123091762,mugn-n2o_m2_d
UP,2,2,n2o,-0.00470391558271939,0.31105661942090157,307.9,0.006765073,-1.5914060813455573,mugn-n2o_m2_d
UP,2,3,n2o,0.00196276386852146,0.11552912065925318,307.7,0.008981918,0.8822026134788611,mugn-n2o_m2_d
UP,2,4,n2o,2.9378558214624e-4,0.7893623937135128,308.35,0.008475211,0.12433567050026588,mugn-n2o_m2_d
